page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/Patriototus,Being Patriotic,145109,2016-09-08,15:30:00,Facebook,724323,"At least 50,000 homeless veterans are starving dying in the streets, but liberals want to invite 620,000 refugees and settle them among us. We have to take care of our own citizens, and it must be the primary goal for our politicians!",https://www.facebook.com/patriototus/posts/1764207977180159, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,205550,2017-05-19,15:30:00,Facebook,78245,"The city of New Orleans said that it would remove the statue of Confederate General Robert E. Lee, which has sat atop a large column in the area. This is nothing but destruction of American history. The country is drowning in liberal madness. Robert E. Lee was a great man, he is a pride of our nation. Removing his monument is a national shame and a spit in the face of Southern Heritage.",https://www.facebook.com/patriototus/posts/1888116078122681, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,0,2015-08-08,13:15:26,Facebook,39740,"A living, breathing page of American history! Two Navajo Marines helped Navajo Code Talker Roy Hawthorne, USMC, during a parade to honor the Navajo Code Talkers in Arizona. God bless you!",https://www.facebook.com/patriototus/posts/1619893444944947, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,203212,2017-05-14,09:30:00,Facebook,30506,Nothing can be more treasonous than burning the American Flag.,https://www.facebook.com/patriototus/posts/1880827962184826, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,187254,2016-11-27,11:30:00,Facebook,30070,It’s simply unfair that the Government cares more about people who broke the immigration law than about heroes who served our beloved country.,https://www.facebook.com/patriototus/posts/1801284233472533, GMT-0500 
Facebook.com/Patriototus,Being Patriotic,117133,2016-06-21,20:00:00,Facebook,27491,"We’re facing attacks on our flags over and over. And believe me – taking our flags away from public places and erasing the heroes’ names from our history is just the beginning. Just like attacks on our Second Amendment, the war on flags is nothing but a step to tyranny. We'll never give away our flags, our guns and our faith. God bless our America and every sacred symbol of our country.",https://www.facebook.com/patriototus/posts/1730597527207871, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,119833,2016-06-27,15:30:00,Facebook,27115,"Speaking about the two wars on American soil, we should mention that both started for the same reason: these were wars for economical and tax independence. How can someone believe there’s a moral right to ban the Confederate flag? How can some people think that Old Glory is unacceptable for public places? Our ancestors fought in both wars to gain a right to be free and in both wars the whole American nation and the South in particular deserved a right to keep their culture and history. Since our Government refuses to keep the Confederate history - it's up to us, ordinary people, to take the burden of keeping the Southern heritage.",https://www.facebook.com/patriototus/posts/1732701223664168, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,137955,2016-08-16,10:30:00,Facebook,23865,"They fought for our homeland, but they don’t have a home now. How can that even be possible? Why do our politicians even speak about sheltering refugees when we have tens of thousands veterans with no place to live? The policy we have now must be reconsidered and changed to fit our veterans’ needs.",https://www.facebook.com/patriototus/posts/1753611341573156, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,158919,2016-09-22,16:41:00,Facebook,22613,It’s simply unfair that the Government cares more about people who broke the immigration law than about heroes who served our beloved country.,https://www.facebook.com/patriototus/posts/1770605223207101, GMT-0400 
Facebook.com/Patriototus,Being Patriotic,155499,2016-09-19,16:30:01,Facebook,22179,Why is it so hard for our Government to understand that we want our own citizens to get care before illegal freeloaders who don’t even try to become a part of the American society?,https://www.facebook.com/patriototus/posts/1769210310013259, GMT-0400 
