page_url,source,followers,date,time,time_zone,post_type,interactions,post_message,post_link
Facebook.com/Blacktivists,Blacktivist,107180,2016-07-22,11:00:00,GMT-0400,Facebook,344309,"A 14-year-old Royce Mann brought hundreds of people to tears after he performed a slam poem on white privilege, police brutality and Black Lives Matter movement. ""All Lives Matter, But...""",https://www.facebook.com/blacktivists/posts/300789326930837
Facebook.com/Blacktivists,Blacktivist,186908,2016-10-26,09:00:35,GMT-0400,Facebook,269853,Africa is in your bloodline.,https://www.facebook.com/blacktivists/posts/351886878487748
Facebook.com/Blacktivists,Blacktivist,201136,2016-11-23,10:00:00,GMT-0500,Facebook,245516,"PLEASE HELP THIS VIDEO GO VIRAL. THESE COPS CAN BEAT UP INNOCENT MAN, GET AWAY WITH MURDER EVEN WHEN IT`S CAUGHT ON CAMERA JUST BECAUSE THEY WEAR A 'MAGICAL' BADGE AND GUN. But it doesn`t make what they do right",https://www.facebook.com/blacktivists/posts/366207037055732
Facebook.com/Blacktivists,Blacktivist,347948,2017-06-22,18:00:00,GMT-0400,Facebook,138590,[no content],https://www.facebook.com/blacktivists/posts/471028066573628
Facebook.com/Blacktivists,Blacktivist,228980,2017-01-17,21:00:00,GMT-0500,Facebook,130298,repost @africanstylediary,https://www.facebook.com/blacktivists/posts/393170954359340
Facebook.com/Blacktivists,Blacktivist,200848,2016-11-22,10:00:00,GMT-0500,Facebook,128979,MAKE THIS VIDEO GO VIRAL. COP HANDCUFFED BLACK MAN AND HIT HIM REPEATEDLY AS HE ATTEMPTED TO EXPLAIN HE WAS HAVING A SEIZURE,https://www.facebook.com/blacktivists/posts/365702893772813
Facebook.com/Blacktivists,Blacktivist,343055,2017-06-13,21:00:00,GMT-0400,Facebook,123074,repost @thebassman102,https://www.facebook.com/blacktivists/posts/465678447108590
Facebook.com/Blacktivists,Blacktivist,241522,2017-02-08,15:56:01,GMT-0500,Facebook,102916,When ballet dancers can mix modern dance and ballet.,https://www.facebook.com/blacktivists/posts/403931493283286
Facebook.com/Blacktivists,Blacktivist,202013,2016-11-24,17:00:00,GMT-0500,Facebook,81704,"PLEASE HELP THIS VIDEO GO VIRAL. POLICE OFFICERS USED TASER ON DISABLED BLACK WOMAN FOR FILMING DAUGHTER`S ARREST Harris County, TX police officers allegedly deployed a Taser against a 36-year-old black woman in a wheelchair for recording her daughter`s arrest. Police officers needlessly attacked disabled woman for exercising her constitutional rights. And instead of treating her like a human being, cops can be seen treating her like an animal. Police literally grabbed her cellphone and threw it away before tasing her until she collapsed out of her wheelchair. When Sheketha Holman discovered her daughter was under arrest for marijuana possession and criminal mischief, she immediately arrived at a Valero gas station in Houston to find out what happened and to film the arrest. However, police asked her to leave the property. The video shows a deputy snatching the phone out of non-threatening Holman before tossing it away. Seconds later, Holman appeared on the ground after a deputy tased her. After the incident, deputies charged Holman with resisting arrest and trespassing. None of the officers have yet been identified or indicted. Enough is enough. Black people have to do something. An eye for an eye. The law enforcement officers keep harassing and killing us without consequences. It`s time to put an end to police violence. This is the very reason for BLACKTIVIST.",https://www.facebook.com/blacktivists/posts/366911443651958
Facebook.com/Blacktivists,Blacktivist,219087,2016-12-12,14:00:00,GMT-0500,Facebook,80936,This video will make you cry. Husband surprises her wife. This is how black man appreciates and loves his wife.,https://www.facebook.com/blacktivists/posts/376688556007580
Facebook.com/Blacktivists,Blacktivist,369675,2017-07-17,09:00:00,GMT-0400,Facebook,80056,"Apparently, selling flowers is a crime?! If we don't fight back in sheer numbers, then we will always suffer this kind of treatment.",https://www.facebook.com/blacktivists/posts/485063351836766
Facebook.com/Blacktivists,Blacktivist,344706,2017-06-17,15:00:00,GMT-0400,Facebook,70223,Too lit to be true,https://www.facebook.com/blacktivists/posts/467119873631114
Facebook.com/Blacktivists,Blacktivist,307679,2017-05-03,09:00:00,GMT-0400,Facebook,68000,There is a war going against black kids.,https://www.facebook.com/blacktivists/posts/445895095753592
Facebook.com/Blacktivists,Blacktivist,255026,2017-02-20,15:55:00,GMT-0500,Facebook,66827,Make sure you guide your children and motivate them.,https://www.facebook.com/blacktivists/posts/409736726036096
Facebook.com/Blacktivists,Blacktivist,158763,2016-09-06,13:00:00,GMT-0400,Facebook,66458,I wish white men were as vocally outraged about rapists going free as they are about a guy not standing for the National Anthem.,https://www.facebook.com/blacktivists/posts/323435871332849
Facebook.com/Blacktivists,Blacktivist,266051,2017-03-09,15:55:01,GMT-0500,Facebook,66313,Listen to these young Kings.,https://www.facebook.com/blacktivists/posts/417697558573346
Facebook.com/Blacktivists,Blacktivist,249147,2017-02-14,08:00:02,GMT-0500,Facebook,60770,This video may bring tears to your eyes. Make it go viral. We need this unity in our communities.,https://www.facebook.com/blacktivists/posts/406643263012109
Facebook.com/Blacktivists,Blacktivist,127657,2016-07-31,11:00:00,GMT-0400,Facebook,60129,This is our reality. This is what black people have to go through. Instead of getting better it`s getting worse.,https://www.facebook.com/blacktivists/posts/305190193157417
