source,page_url,followers,date,time,time_zone,interactions,post_type,post_message,post_link
Heart of Texas,Facebook.com/Txrebels,160596,2016-12-14,18:15:00, GMT-0500,148916,Facebook,,https://www.facebook.com/txrebels/posts/1073959529392536
Heart of Texas,Facebook.com/Txrebels,240598,2017-07-24,22:00:00, GMT-0400,110640,Facebook,,https://www.facebook.com/txrebels/posts/1295547340567086
Heart of Texas,Facebook.com/Txrebels,249470,2017-08-21,18:30:00, GMT-0400,79548,Facebook,,https://www.facebook.com/txrebels/posts/1325150370940116
Heart of Texas,Facebook.com/Txrebels,202767,2017-04-12,16:00:00, GMT-0400,64311,Facebook,,https://www.facebook.com/txrebels/posts/1188651411256680
Heart of Texas,Facebook.com/Txrebels,164245,2016-12-26,18:30:00, GMT-0500,44176,Facebook,,https://www.facebook.com/txrebels/posts/1084070288381460
Heart of Texas,Facebook.com/Txrebels,185339,2017-02-27,17:30:00, GMT-0500,43094,Facebook,,https://www.facebook.com/txrebels/posts/1144266829028472
Heart of Texas,Facebook.com/Txrebels,249618,2017-08-22,16:30:00, GMT-0400,40349,Facebook,,https://www.facebook.com/txrebels/posts/1326086440846509
Heart of Texas,Facebook.com/Txrebels,191008,2017-03-10,15:59:00, GMT-0500,37444,Facebook,,https://www.facebook.com/txrebels/posts/1154388784682943
Heart of Texas,Facebook.com/Txrebels,202767,2017-04-12,16:59:00, GMT-0400,34255,Facebook,,https://www.facebook.com/txrebels/posts/1188652414589913
Heart of Texas,Facebook.com/Txrebels,225723,2017-06-14,18:30:00, GMT-0400,33849,Facebook,,https://www.facebook.com/txrebels/posts/1254079924713828
Heart of Texas,Facebook.com/Txrebels,229567,2017-06-17,19:00:00, GMT-0400,32665,Facebook,,https://www.facebook.com/txrebels/posts/1255181941270293
Heart of Texas,Facebook.com/Txrebels,225270,2017-06-13,16:59:00, GMT-0400,27492,Facebook,,https://www.facebook.com/txrebels/posts/1252951561493331
Heart of Texas,Facebook.com/Txrebels,200756,2017-04-03,20:08:00, GMT-0400,26945,Facebook,,https://www.facebook.com/txrebels/posts/1173086739479814
Heart of Texas,Facebook.com/Txrebels,192166,2017-03-14,19:00:00, GMT-0400,24203,Facebook,,https://www.facebook.com/txrebels/posts/1158601674261654
Heart of Texas,Facebook.com/Txrebels,247358,2017-08-14,16:30:00, GMT-0400,23338,Facebook,,https://www.facebook.com/txrebels/posts/1317106205077866
Heart of Texas,Facebook.com/Txrebels,174651,2017-01-30,15:59:00, GMT-0500,23231,Facebook,,https://www.facebook.com/txrebels/posts/1117908731664282
Heart of Texas,Facebook.com/Txrebels,177366,2017-02-06,17:00:00, GMT-0500,22410,Facebook,,https://www.facebook.com/txrebels/posts/1125422947579527
Heart of Texas,Facebook.com/Txrebels,244655,2017-08-03,14:00:00, GMT-0400,21662,Facebook,,https://www.facebook.com/txrebels/posts/1306111196177367
Heart of Texas,Facebook.com/Txrebels,222325,2017-05-31,19:31:00, GMT-0400,20360,Facebook,,https://www.facebook.com/txrebels/posts/1237694026352418
Heart of Texas,Facebook.com/Txrebels,237156,2017-07-13,18:30:00, GMT-0400,19754,Facebook,,https://www.facebook.com/txrebels/posts/1283693765085777
Heart of Texas,Facebook.com/Txrebels,225116,2017-06-12,18:00:00, GMT-0400,19559,Facebook,,https://www.facebook.com/txrebels/posts/1248375678617586
Heart of Texas,Facebook.com/Txrebels,181187,2017-02-16,15:00:11, GMT-0500,17080,Facebook,,https://www.facebook.com/txrebels/posts/1134045593383929
Heart of Texas,Facebook.com/Txrebels,169901,2017-01-11,15:00:00, GMT-0500,16860,Facebook,,https://www.facebook.com/txrebels/posts/1097355633719592
Heart of Texas,Facebook.com/Txrebels,236610,2017-07-11,18:01:00, GMT-0400,16375,Facebook,,https://www.facebook.com/txrebels/posts/1281924498596037
Heart of Texas,Facebook.com/Txrebels,178061,2017-02-08,15:59:04, GMT-0500,15772,Facebook,,https://www.facebook.com/txrebels/posts/1127303444058144
Heart of Texas,Facebook.com/Txrebels,194385,2017-03-23,19:32:14, GMT-0400,14695,Facebook,,https://www.facebook.com/txrebels/posts/1166891013432720
Heart of Texas,Facebook.com/Txrebels,222446,2017-06-01,18:30:00, GMT-0400,14516,Facebook,,https://www.facebook.com/txrebels/posts/1238726072915880
Heart of Texas,Facebook.com/Txrebels,246175,2017-08-09,20:00:00, GMT-0400,14409,Facebook,,https://www.facebook.com/txrebels/posts/1312136658908154
Heart of Texas,Facebook.com/Txrebels,181540,2017-02-17,15:59:00, GMT-0500,14286,Facebook,,https://www.facebook.com/txrebels/posts/1135125506609271
Heart of Texas,Facebook.com/Txrebels,195421,2017-03-24,19:23:00, GMT-0400,13741,Facebook,,https://www.facebook.com/txrebels/posts/1167857960002692
Heart of Texas,Facebook.com/Txrebels,246612,2017-08-11,20:00:00, GMT-0400,13448,Facebook,,https://www.facebook.com/txrebels/posts/1314027772052376
Heart of Texas,Facebook.com/Txrebels,180884,2017-02-15,18:31:00, GMT-0500,13418,Facebook,,https://www.facebook.com/txrebels/posts/1132997076822114
Heart of Texas,Facebook.com/Txrebels,211767,2017-04-21,19:30:00, GMT-0400,13068,Facebook,,https://www.facebook.com/txrebels/posts/1200731400048681
Heart of Texas,Facebook.com/Txrebels,215317,2017-05-01,18:00:00, GMT-0400,13044,Facebook,,https://www.facebook.com/txrebels/posts/1203135436474944
Heart of Texas,Facebook.com/Txrebels,232375,2017-06-23,16:00:00, GMT-0400,13027,Facebook,,https://www.facebook.com/txrebels/posts/1263490710439416
Heart of Texas,Facebook.com/Txrebels,197903,2017-03-27,16:59:00, GMT-0400,12853,Facebook,,https://www.facebook.com/txrebels/posts/1170774949710993
Heart of Texas,Facebook.com/Txrebels,224132,2017-06-09,18:00:00, GMT-0400,12829,Facebook,,https://www.facebook.com/txrebels/posts/1248362688618885
Heart of Texas,Facebook.com/Txrebels,186855,2017-03-02,15:59:00, GMT-0500,12821,Facebook,,https://www.facebook.com/txrebels/posts/1146904502098038
Heart of Texas,Facebook.com/Txrebels,233349,2017-06-27,21:00:00, GMT-0400,12427,Facebook,,https://www.facebook.com/txrebels/posts/1267423936712760
Heart of Texas,Facebook.com/Txrebels,189984,2017-03-08,15:59:00, GMT-0500,12300,Facebook,,https://www.facebook.com/txrebels/posts/1151237011664787
Heart of Texas,Facebook.com/Txrebels,217785,2017-05-10,19:00:00, GMT-0400,12233,Facebook,,https://www.facebook.com/txrebels/posts/1218597028262118
Heart of Texas,Facebook.com/Txrebels,189051,2017-03-06,17:00:01, GMT-0500,12085,Facebook,,https://www.facebook.com/txrebels/posts/1150332201755268
Heart of Texas,Facebook.com/Txrebels,245271,2017-08-06,20:00:00, GMT-0400,12058,Facebook,,https://www.facebook.com/txrebels/posts/1307221946066292
Heart of Texas,Facebook.com/Txrebels,224132,2017-06-09,19:00:00, GMT-0400,12044,Facebook,,https://www.facebook.com/txrebels/posts/1248363221952165
Heart of Texas,Facebook.com/Txrebels,215476,2017-05-02,19:03:00, GMT-0400,11902,Facebook,,https://www.facebook.com/txrebels/posts/1203146729807148
I Love Texas,Facebook.com/Txrebels,373495,2017-06-15,07:36:51, GMT-0400,11581,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102018659169
Heart of Texas,Facebook.com/Txrebels,194687,2017-03-24,19:00:00, GMT-0400,11417,Facebook,,https://www.facebook.com/txrebels/posts/1167857043336117
Heart of Texas,Facebook.com/Txrebels,211510,2017-04-20,18:00:00, GMT-0400,11302,Facebook,,https://www.facebook.com/txrebels/posts/1199359873519167
I Love Texas,Facebook.com/Txrebels,373495,2017-06-15,07:37:11, GMT-0400,11142,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102145325823
Heart of Texas,Facebook.com/Txrebels,215610,2017-05-03,20:07:00, GMT-0400,11125,Facebook,,https://www.facebook.com/txrebels/posts/1203151906473297
Heart of Texas,Facebook.com/Txrebels,183464,2017-02-22,18:00:01, GMT-0500,11007,Facebook,,https://www.facebook.com/txrebels/posts/1138880886233733
Heart of Texas,Facebook.com/Txrebels,221630,2017-05-27,18:29:00, GMT-0400,10946,Facebook,,https://www.facebook.com/txrebels/posts/1230310887090732
I Love Texas,Facebook.com/Txrebels,362927,2017-04-12,17:01:12, GMT-0400,10855,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1253624298040275
Heart of Texas,Facebook.com/Txrebels,245271,2017-08-05,20:00:00, GMT-0400,10402,Facebook,,https://www.facebook.com/txrebels/posts/1307217126066774
Heart of Texas,Facebook.com/Txrebels,246612,2017-08-11,18:00:00, GMT-0400,10304,Facebook,,https://www.facebook.com/txrebels/posts/1314016362053517
Heart of Texas,Facebook.com/Txrebels,199162,2017-03-29,16:00:00, GMT-0400,10296,Facebook,,https://www.facebook.com/txrebels/posts/1172998256155329
Heart of Texas,Facebook.com/Txrebels,213056,2017-04-24,18:00:00, GMT-0400,10231,Facebook,,https://www.facebook.com/txrebels/posts/1204008823054272
Heart of Texas,Facebook.com/Txrebels,217785,2017-05-10,18:00:00, GMT-0400,10161,Facebook,,https://www.facebook.com/txrebels/posts/1218596004928887
Heart of Texas,Facebook.com/Txrebels,196759,2017-03-26,19:00:00, GMT-0400,10103,Facebook,,https://www.facebook.com/txrebels/posts/1167865736668581
Heart of Texas,Facebook.com/Txrebels,189458,2017-03-07,15:59:00, GMT-0500,9868,Facebook,,https://www.facebook.com/txrebels/posts/1151232194998602
Heart of Texas,Facebook.com/Txrebels,248065,2017-08-16,18:30:00, GMT-0400,9863,Facebook,,https://www.facebook.com/txrebels/posts/1319780364810450
Heart of Texas,Facebook.com/Txrebels,248568,2017-08-17,18:30:00, GMT-0400,9724,Facebook,,https://www.facebook.com/txrebels/posts/1320788158043004
Heart of Texas,Facebook.com/Txrebels,164428,2016-12-27,18:30:00, GMT-0500,9611,Facebook,,https://www.facebook.com/txrebels/posts/1084820848306404
