page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.Com/Secured.Borders,Secured Borders,0,2016-10-07,21:00:00,Facebook,100707,"As I've said before, I'm really concerned if victory will go to Hillary Clinton due to voter fraud. If we can't trust the State Department, if we can't trust DOJ, if we can't trust the FBI, if we can't trust the DHS, hell we can't trust any division of our Federal Government, so it seems logical we can't put much trust in today's elections system. And we see that Hillary is exhibiting the same cockiness that Obama did before he won in 2008/2012. As if she knows in advance that the results will put her in the White House. POTUS administration shamelessly exploit the rigged system, Democrats already have a great experience at this. Illegal aliens, dead people, incarcerated criminals or refugees who can't even speak English... They ALL work together to get Democrats over the top in these elections!! Are you outraged by this as much as I am? No wonder they trying to take away our guns - because Americans have had enough of this BS and if Killary wins there will be riots nationwide, not seen since the times of Revolutionary war!!",https://www.facebook.com/Secured.Borders/posts/893853480715913,GMT-0400
Facebook.Com/Secured.Borders,Secured Borders,0,2017-02-26,20:10:11,Facebook,43668,"Mexican-American whose parents came into America legally, explains why he supports Trump Securing the Border 🇺🇸 The guy NAILED IT!",https://www.facebook.com/Secured.Borders/posts/1016364515131475,GMT-0500
Facebook.Com/Secured.Borders,Secured Borders,0,2016-09-12,13:00:01,Facebook,16087,"Our government spends billions of dollars on illegal aliens, while our brave Veterans are dying waiting for help. What the hell? Our Veterans should receive the best treatment! And, as for illegal aliens, the only thing they should receive is a kick so strong they would fly all the way across our border.",https://www.facebook.com/Secured.Borders/posts/876236595810935,GMT-0400
Facebook.Com/Secured.Borders,Prepare to Take America Back,389504,2016-10-22,08:44:23,Facebook,15425,(Prepare to Take America Back),https://www.facebook.com/PrepareToTakeAmericaBack/posts/1144921482229546,GMT-0400
Facebook.Com/Secured.Borders,Judge Jeanine Pirro has Fans,546007,2017-02-28,11:59:43,Facebook,11876,(Judge Jeanine Pirro has Fans),https://www.facebook.com/JudgeJeanineFans/posts/452355765109949,GMT-0500
Facebook.Com/Secured.Borders,Secured Borders,0,2016-09-27,10:05:00,Facebook,10548,Some politically incorrect humor.,https://www.facebook.com/Secured.Borders/posts/886037938164134,GMT-0400
Facebook.Com/Secured.Borders,The Trump Pledge,207424,2016-10-22,16:00:00,Facebook,9287,(The Trump Pledge),https://www.facebook.com/realTheTrumpPledge/posts/1345576242156746,GMT-0400
Facebook.Com/Secured.Borders,Secured Borders,0,2017-01-15,10:00:02,Facebook,8682,"""I may be an illegal but I'm not a criminal"". WRONG. You’re criminal. when you entered the U.S. illegally, you broke the law. No excuses. Thankfully we will now have a President who understands that.",https://www.facebook.com/Secured.Borders/posts/982451721856088,GMT-0500
Facebook.Com/Secured.Borders,Secured Borders,0,2016-10-28,14:05:00,Facebook,8401,"""Corrupt"", ""abusive"", those are the words mass media describe Border Patrol agents. (Illegal) immigrants themselves saying they hate BPA because ""they are doing an injustice by sending people back to their country"". WTF?? This is an injustice? They should be thankful they didn't get a bullet in their worthless skull!! Under Obama the Border Patrol was understaffed, under-equipped, and overrun. If Killary succeed in rigging the elections and become POTUS this disgustingly unjust treatment of BPA will continue. Liberal media claim that ""Border Patrol endorses a racist, xenophobic and misogynist campaign that advocates mass deportation, torture, state-sanctioned discrimination"". That's nonsense. These guys aren't racist they're just doing their job!",https://www.facebook.com/Secured.Borders/posts/909775589123702,GMT-0400
Facebook.Com/Secured.Borders,Secured Borders,0,2016-09-30,18:05:02,Facebook,7646,"Why there's so many privileges and benefits for refugee kids, but American kids forced to grow up in poverty? That's absolutely unacceptable!!",https://www.facebook.com/Secured.Borders/posts/888616381239623,GMT-0400
